2021-06-02 13:41:38,161 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': '', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'party': '1', 'phone': '', 'dining': '1', 'unlist': '', 'address': '211 East Commercial', 'contact': '', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Shopping', 'facebook': '', 'linkedin': '', 'shopping': '1', 'instagram': '', 'pinterest': '', 'hot-drinks': '1', 'hard-drinks': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 13:41:38,162 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Sonic', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'phone': '', 'dining': '1', 'unlist': '', 'address': '', 'contact': '', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Food and Drink', 'facebook': '', 'linkedin': '', 'instagram': '', 'pinterest': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 13:41:38,162 ⚜️  Cartomancer 🗺  〉 WARNING 〉 Making a new category for food-and-drink.
2021-06-02 14:21:44,390 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': '', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'party': '1', 'phone': '', 'dining': '1', 'unlist': '', 'address': '211 East Commercial', 'contact': '', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Shopping', 'facebook': '', 'linkedin': '', 'shopping': '1', 'instagram': '', 'pinterest': '', 'hot-drinks': '1', 'hard-drinks': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,390 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Sonic', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'phone': '', 'dining': '1', 'unlist': '', 'address': '', 'contact': '', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Food and Drink', 'facebook': '', 'linkedin': '', 'instagram': '', 'pinterest': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,391 ⚜️  Cartomancer 🗺  〉 WARNING 〉 Making a new category for food-and-drink.
2021-06-02 14:21:44,416 ⚜️  Cartomancer 🗺  〉 WARNING 〉 We made a new category object named food-and-drink.
2021-06-02 14:21:44,418 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Ink Ink', 'yelp': '', 'email': 'inkinktat@gmail.com or email@inkinktat.com', 'houzz': '', 'phone': '(417) 719-4452', 'unlist': '', 'address': '302 East Commercial', 'twitter': 'https://twitter.com/InkInktat', 'website': 'https://inkinktat.com', 'youtube': '', 'category': 'Services', 'facebook': 'https://www.facebook.com/inkinktattoo/', 'linkedin': '', 'instagram': 'https://www.instagram.com/inkinktat/', 'pinterest': 'https://www.pinterest.com/Inkinktat/', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,418 ⚜️  Cartomancer 🗺  〉 WARNING 〉 Making a new category for services.
2021-06-02 14:21:44,444 ⚜️  Cartomancer 🗺  〉 WARNING 〉 We made a new category object named services.
2021-06-02 14:21:44,445 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'H&R Block', 'unlist': '', 'address': '312 West Commercial', 'category': 'Services'}
2021-06-02 14:21:44,446 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Artifacts', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'phone': '(417) 268-8266', 'dining': '', 'unlist': '', 'address': '410 West Commercial', 'contact': '', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Shopping', 'facebook': 'https://www.facebook.com/417artifacts/', 'linkedin': '', 'shopping': '1', 'instagram': '', 'pinterest': '', 'hot-drinks': '', 'hard-drinks': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,446 ⚜️  Cartomancer 🗺  〉 WARNING 〉 Making a new category for shopping.
2021-06-02 14:21:44,476 ⚜️  Cartomancer 🗺  〉 WARNING 〉 We made a new category object named shopping.
2021-06-02 14:21:44,476 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': "Cymphony's", 'yelp': '', 'email': 'cindyuhoo73@gmail.com', 'houzz': '', 'owner': '', 'phone': '(417) 326-9432', 'dining': '', 'unlist': '', 'address': '426 West Commercial', 'contact': 'Cindy Ussery', 'twitter': '', 'website': '', 'youtube': '', 'category': 'Shopping', 'facebook': '', 'linkedin': '', 'shopping': '1', 'instagram': 'https://www.instagram.com/cymphonysoncstreet/', 'pinterest': '', 'hot-drinks': '', 'hard-drinks': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,477 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Departika', 'yelp': '', 'email': 'contact@departika.com', 'houzz': '', 'owner': '', 'party': '', 'phone': '(417) 868-8378', 'dining': '', 'unlist': '', 'address': '210 West Commercial', 'contact': '', 'rentals': '1', 'twitter': 'https://twitter.com/departika', 'website': 'http://www.departika.com', 'youtube': '', 'category': 'Services', 'facebook': 'https://www.facebook.com/departika/', 'linkedin': 'https://www.linkedin.com/company/429929', 'shopping': '', 'instagram': '', 'pinterest': 'http://www.pinterest.com/departika/', 'hot-drinks': '', 'hard-drinks': '', 'tripadvisor': '', 'reverbnation': ''}
2021-06-02 14:21:44,477 ⚜️  Cartomancer 🗺  〉 WARNING 〉 {'name': 'Q Enoteca', 'yelp': '', 'email': '', 'houzz': '', 'owner': '', 'party': '1', 'phone': '', 'dining': '', 'unlist': '', 'address': '308 West Commercial', 'contact': '', 'twitter': '', 'website': 'http://qenoteca.com', 'youtube': '', 'category': 'Food and Drink', 'facebook': 'https://www.facebook.com/qenoteca/', 'linkedin': '', 'shopping': '', 'instagram': '', 'pinterest': '', 'hot-drinks': '', 'hard-drinks': '1', 'tripadvisor': '', 'reverbnation': ''}
